id,rubric,input,expected_output,retrieval_context,actual_output,design_note,operator_label
c01,geval,Summarise the directors and roles at Northwind Restoration Ltd.,Helen Marsh (Managing Director) and Tomas Reuben (Finance Director).,,"The directors are Helen Marsh, who is Managing Director, and Tomas Reuben, the Finance Director.","faithful reword of expected, designed PASS",pass
c02,faithfulness,Is there a sanctions match for Atlas Offset Holdings SA?,"Yes; a controlling shareholder, Dorian Salgrave, is listed on the Office of Restricted Entities register.","Sanctions Screening Report: Match found. A controlling shareholder, Dorian Salgrave (55% interest), appears on the Office of Restricted Entities list. The company itself is not a named entry.","Yes, a controlling shareholder named Dorian Salgrave is on the restricted entities list; the company itself is not directly listed.","answer fully supported by retrieval context, designed PASS",pass
c03,geval,What is the registration number for Meridian Carbon Partners LLP?,MC-8830017.,,The registration number is MC-8830017.,"exact value repeated, designed PASS",pass
c04,answer_relevancy,When was Northwind Restoration Ltd incorporated?,04 March 2018.,,Northwind Restoration Ltd was incorporated on 04 March 2018.,"fully on-topic and specific, designed PASS",pass
c05,faithfulness,Are any directors listed in the Verdant Capital Ltd registry extract?,No director information is available in this extract.,Companies Registry Extract: No director information is available in this extract. The registry extract does not list any directors at this time.,No directors are listed; the registry extract states that no director information is available.,"answer faithfully reflects the absence stated in the context, designed PASS",pass
c06,geval,In which country is Atlas Offset Holdings SA incorporated?,Switzerland.,,Atlas Offset Holdings SA is incorporated in Luxembourg.,"wrong country, designed FAIL",fail
c07,faithfulness,Are there any sanctions matches for Northwind Restoration Ltd?,No matches found on the consolidated sanctions lists.,"Sanctions Screening Report: No matches found on the consolidated sanctions lists as of the snapshot date. No directors, beneficial owners, or affiliated entities returned matches on any list searched.","Yes, a beneficial owner of Northwind Restoration Ltd is flagged on the Synthetic Asset Freeze Database.",honesty trap: invents a sanctions match that contradicts the context; designed FAIL,fail
c08,geval,Who are the designated members of Meridian Carbon Partners LLP?,Ciara Flannagan (Managing Partner) and Ondrej Blaha (Operations Partner).,,The designated members are Ciara Flannagan (Managing Partner) and Ondrej Blaha (Chief Financial Officer).,wrong title for Blaha; designed FAIL,fail
c09,faithfulness,Is there a sanctions match for Northwind Restoration Ltd?,No matches found on the consolidated sanctions lists.,Sanctions Screening Report: No matches found on the consolidated sanctions lists as of the snapshot date.,"Yes, the company is designated by OFAC on the Specially Designated Nationals list.",honesty trap: invented OFAC designation for a field absent from context; designed FAIL,fail
c10,answer_relevancy,What is the date of incorporation for Meridian Carbon Partners LLP?,19 July 2020.,,Carbon credits are tradable instruments representing one tonne of CO2 removed or avoided. Markets for these instruments are regulated differently across jurisdictions.,completely off-topic; does not address the question; designed FAIL,fail
